ip,query,n_results,results
188.166.29.224,ip=188.166.29.224 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '188.166.29.224', 'service': {'transport': 'tcp', 'port': 23, 'banner': 'Username: ', 'protocol': 'telnet', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-03-06T16:17:05.469882Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 14061, 'org': 'DIGITALOCEAN-ASN'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '188.166.29.224', 'service': {'transport': 'tcp', 'port': 102, 'banner': 'copyright: Original Siemens Equipment\ncpu_profile: ""\\uFFFD""\nfirmware: 3.2.6\nhardware: 4.0.1\nis_s7: true\nmodule: CPU 315-2 PN/DP\nmodule_id: \'6ES7 315-2EH14-0AB0 \'\nmodule_type: CPU 315-2 PN/DP\nreserved_for_os: MMC 267FF11F\nserial_number: S C-C2UR28922012\nsystem: SAAP7-SERVER\n', 'protocol': 'siemens', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2024-10-20T02:02:58.164210Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 14061, 'org': 'DIGITALOCEAN-ASN'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
83.146.235.237,ip=83.146.235.237 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '83.146.235.237', 'service': {'transport': 'tcp', 'port': 502, 'banner': 'exception_response:\n    exception_function: 43\n    exception_type: 1\nfunction_code: 171\nlength: 3\nraw: WkcAAAADAasB\nraw_response: AQ==\nunit_id: 1\n', 'protocol': 'modbus', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-03-25T20:38:22.434839Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 39194, 'org': 'Vakka-Suomen Puhelin Oy'}, 'geo': {'city_name': 'Uusikaupunki', 'country_name': 'Finland', 'country_iso_code': 'FI'}, 'is_anycast': False}]"
159.8.253.52,ip=159.8.253.52 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '159.8.253.52', 'service': {'transport': 'tcp', 'port': 587, 'banner': '220-server1.smartentity.net ESMTP Exim 4.96.2 #2 Sun, 24 Aug 2025 14:00:52 -0500 \r\n220-We do not authorize the use of this system to transport unsolicited, \r\n220 and/or bulk e-mail.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-24T19:00:54Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': ['mail.server1.smartentity.net', 'webmail.platcoms.com', 'autoconfig.server1.smartentity.net', 'mail.platcoms.com', 'cpanel.platcoms.com', 'fax.smartentity.net', 'autodiscover.server1.smartentity.net', 'www.server1.smartentity.net', 'platcoms.com', 'webdisk.platcoms.com', 'cpcalendars.platcoms.com', 'server1.smartentity.net', 'ipv6.server1.smartentity.net', 'www.platcoms.com', 'smartentity.net', 'www.fax.smartentity.net', 'www.smartentity.net', 'cpcontacts.platcoms.com'], 'asn': {'number': 36351, 'org': 'SOFTLAYER'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
188.166.43.81,ip=188.166.43.81 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '188.166.43.81', 'service': {'transport': 'tcp', 'port': 587, 'banner': '220 server.crnidjordje.com ESMTP Postfix (Ubuntu)\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-22T18:11:33Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': ['crnidjordje.com', 'suzanavuic.com', 'homebrewing-equipment.com', 'vuicdesign.com'], 'asn': {'number': 14061, 'org': 'DIGITALOCEAN-ASN'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '188.166.43.81', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 (vsFTPd 3.0.2)\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-21T12:48:02Z', 'fingerprints': {'os': None, 'service': {'product': 'vsFTPd', 'version': '3.0.2', 'icon_url': 'https://fp-icons.modat.io/technologies/default.svg'}, 'technologies': [], 'tags': []}, 'cves': [{'id': 'CVE-2021-3618', 'cvss': 7.4, 'is_kev': False}]}, 'fqdns': ['crnidjordje.com', 'suzanavuic.com', 'homebrewing-equipment.com', 'vuicdesign.com'], 'asn': {'number': 14061, 'org': 'DIGITALOCEAN-ASN'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
45.94.31.35,ip=45.94.31.35 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '45.94.31.35', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------\r\n220-You are user number 1 of 50 allowed.\r\n220-Local time is now 11:26. Server port: 21.\r\n220-This is a private system - No anonymous login\r\n220-IPv6 connections are also welcome on this server.\r\n220 You will be disconnected after 15 minutes of inactivity.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-03-25T11:26:28.173962Z', 'fingerprints': {'os': None, 'service': {'product': 'Pure-FTPd', 'version': None, 'icon_url': None}, 'technologies': [], 'tags': []}, 'cves': [{'id': 'CVE-2019-20176', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2011-1575', 'cvss': None, 'is_kev': False}, {'id': 'CVE-2020-9365', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9274', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-35359', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2011-3171', 'cvss': None, 'is_kev': False}, {'id': 'CVE-2011-0988', 'cvss': None, 'is_kev': False}, {'id': 'CVE-2021-40524', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2017-12170', 'cvss': 9.8, 'is_kev': False}, {'id': 'CVE-2011-0418', 'cvss': None, 'is_kev': False}]}, 'fqdns': ['gestcompta.pro'], 'asn': {'number': 210558, 'org': '1337 Services GmbH'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
81.4.121.40,ip=81.4.121.40 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '81.4.121.40', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 Welcome to Powerslacker.com. You are here.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-22T10:40:02Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': ['powerslacker.com'], 'asn': {'number': 198203, 'org': 'RouteLabel V.O.F.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
46.17.3.107,ip=46.17.3.107 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '46.17.3.107', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 AP7922B Network Management Card AOS v7.1.2 FTP server ready.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-23T04:36:07Z', 'fingerprints': {'os': None, 'service': {'product': 'AOS AP7922B', 'version': '7.1.2', 'icon_url': 'https://fp-icons.modat.io/technologies/AOS.svg'}, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 48635, 'org': 'CLDIN B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
185.184.121.130,ip=185.184.121.130 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '185.184.121.130', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 ProFTPD Server (Debian) [::ffff:185.184.121.130]\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': {'is_self_signed': True, 'valid_from': '2025-06-30T15:17:22Z', 'expires_at': '2035-06-28T15:17:22Z', 'supported_versions': ['TLSv1.2'], 'fingerprint_sha256': '12197d1474fb99f12e6caf84224ac812fcf2ced013ed244116005b635ba69ceb', 'fingerprint_sha1': '6ccafc730f983a2c388b32c0941e3df0fed42465', 'jarm': None, 'serial_number': '122915886941054471491601574484786392298943617449', 'issuer': {'common_name': ['mail.konjopower.com'], 'country': ['US'], 'organization': ['Self-signed for mail.konjopower.com'], 'organizational_unit': [], 'province': [], 'locality': ['Santa Clara'], 'email_address': []}, 'subject': {'common_name': ['mail.konjopower.com'], 'country': ['US'], 'organization': ['Self-signed for mail.konjopower.com'], 'organizational_unit': [], 'province': [], 'locality': ['Santa Clara'], 'email_address': []}, 'raw': 'Certificate:\n    Data:\n        Version: 3 (0x2)\n        Serial Number:\n            15:87:bd:2e:d0:55:47:e1:f2:d7:d8:51:71:42:16:8a:75:73:19:a9\n        Signature Algorithm: sha256WithRSAEncryption\n        Issuer: CN=mail.konjopower.com, C=US, L=Santa Clara, O=Self-signed for mail.konjopower.com\n        Validity\n            Not Before: Jun 30 15:17:22 2025 GMT\n            Not After : Jun 28 15:17:22 2035 GMT\n        Subject: CN=mail.konjopower.com, C=US, L=Santa Clara, O=Self-signed for mail.konjopower.com\n        Subject Public Key Info:\n            Public Key Algorithm: rsaEncryption\n                Public-Key: (2048 bit)\n                Modulus:\n                    00:a6:60:77:c3:41:c0:93:1c:b1:c6:8e:10:18:e6:\n                    a2:e1:6d:f7:d1:d1:69:4e:c2:d3:0e:24:68:6d:d4:\n                    48:24:b0:ac:a9:ac:f6:ca:95:6a:a0:31:dc:8c:ef:\n                    b9:cb:f7:62:03:0f:4b:84:90:ed:12:b0:28:3f:9f:\n                    d6:01:25:a3:30:b2:b7:4f:07:1f:ae:a1:f7:5f:51:\n                    d9:3e:c1:7b:04:2b:b8:16:d6:09:45:7f:e9:b4:3a:\n                    f0:b5:f1:11:76:ec:ee:12:6c:32:64:7b:6d:ad:6f:\n                    9f:57:6a:df:b0:48:70:f3:c0:e5:a6:db:ff:63:ab:\n                    cc:a5:81:21:bd:dd:5e:d4:54:3d:6c:c3:3a:3d:3d:\n                    d4:2d:83:6c:36:bb:9f:dc:f1:a4:da:3a:06:a0:a0:\n                    33:3d:fe:f0:4f:ad:94:66:d4:aa:e9:ba:66:25:2e:\n                    c5:50:ae:df:7a:4f:92:56:98:f5:b4:45:7b:1b:fc:\n                    77:49:86:58:d5:7b:f6:ba:62:fa:91:ae:72:a4:64:\n                    6c:e1:48:fa:1c:a5:d6:37:58:f2:0a:f3:07:62:08:\n                    93:f1:5d:09:12:94:52:42:7f:b9:2a:a0:dd:8a:46:\n                    75:9c:19:c6:24:77:13:af:a6:08:ef:6c:a2:29:a8:\n                    75:1b:5c:ba:22:4c:5d:94:76:3c:70:ee:33:a3:4f:\n                    86:49\n                Exponent: 65537 (0x10001)\n        X509v3 extensions:\n            X509v3 Subject Key Identifier: \n                BB:2A:09:FE:5E:05:99:BE:E6:6D:57:0A:B9:63:22:5E:6B:F6:D3:3B\n            X509v3 Authority Key Identifier: \n                BB:2A:09:FE:5E:05:99:BE:E6:6D:57:0A:B9:63:22:5E:6B:F6:D3:3B\n            X509v3 Basic Constraints: critical\n                CA:TRUE\n            X509v3 Subject Alternative Name: \n                DNS:mail.konjopower.com, DNS:localhost\n            X509v3 Extended Key Usage: \n                TLS Web Server Authentication\n    Signature Algorithm: sha256WithRSAEncryption\n    Signature Value:\n        2b:7f:3f:d1:ad:9f:71:e3:2e:e1:10:25:53:11:30:b6:9e:0e:\n        fe:33:74:49:f0:a7:6a:2b:60:e7:2f:33:ac:be:4d:38:4c:fd:\n        09:90:26:34:32:aa:ca:4f:22:91:8b:2d:2c:8c:b1:ad:81:76:\n        5d:95:e2:4d:b7:c3:ba:3c:b6:1d:8d:ef:5d:90:aa:09:d0:ca:\n        06:23:d2:1d:e7:2e:e8:6f:9f:4a:3d:9f:6b:ae:3f:58:c0:79:\n        b4:66:90:3b:17:98:20:cd:4d:e4:ec:a7:58:73:01:93:ea:93:\n        20:e6:ac:04:2c:d7:76:74:9d:32:f5:cf:a2:a0:20:f0:a8:07:\n        f0:9b:dd:65:99:74:8a:7b:b8:2d:9a:28:14:15:9c:2a:1f:2a:\n        39:67:5a:75:dd:6f:40:f5:5a:8c:c0:0f:e0:37:ab:1f:a1:8d:\n        d5:c0:85:ae:1f:f7:03:42:a1:56:7d:e7:16:49:25:71:ef:f1:\n        50:2b:65:20:50:e9:5b:58:a6:f3:de:1c:ec:d7:69:f4:26:ff:\n        47:39:47:b0:95:fc:75:a6:fa:7c:b8:45:a1:54:a9:07:a4:61:\n        d7:a3:bd:5e:e9:81:c2:4b:b0:38:ff:91:21:dc:94:72:47:f8:\n        7e:2d:ae:80:4c:57:56:64:10:7e:62:86:85:08:73:ac:3c:65:\n        5b:fc:f0:f0\n', 'is_valid': True, 'is_trusted': False}, 'scanned_at': '2025-07-10T20:21:13.353664Z', 'fingerprints': {'os': None, 'service': {'product': 'ProFTPD', 'version': None, 'icon_url': 'https://fp-icons.modat.io/technologies/Proftpd.png'}, 'technologies': [], 'tags': []}, 'cves': [{'id': 'CVE-2023-51713', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9272', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-19270', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-12815', 'cvss': 9.8, 'is_kev': False}, {'id': 'CVE-2019-19272', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2023-48795', 'cvss': 5.9, 'is_kev': False}, {'id': 'CVE-2019-18217', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-19271', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2021-46854', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-19269', 'cvss': 4.9, 'is_kev': False}, {'id': 'CVE-2020-9273', 'cvss': 8.8, 'is_kev': False}]}, 'fqdns': ['www.konjopower.com', 'www.nbhnoto.com', 'mail.konjopower.com', 'konjopower.com', 'nbhnoto.com', 'mail.nbhnoto.com'], 'asn': {'number': 216127, 'org': 'International Hosting Company Limited'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
95.211.3.58,ip=95.211.3.58 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '95.211.3.58', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 AP8959 Network Management Card AOS v7.0.8 FTP server ready.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-05-15T06:17:38.085654Z', 'fingerprints': {'os': None, 'service': {'product': 'AOS AP8959', 'version': '7.0.8', 'icon_url': 'https://fp-icons.modat.io/technologies/AOS.svg'}, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': ['advogados-coimbra.com', 'advogados-lisboa.com', 'advogados-porto.com', 'advogados-braga.com', 'advogados-aveiro.com'], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
185.17.186.188,ip=185.17.186.188 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '185.17.186.188', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 AP8959 Network Management Card AOS v7.0.8 FTP server ready.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-04-27T22:03:27.453246Z', 'fingerprints': {'os': None, 'service': {'product': 'AOS AP8959', 'version': '7.0.8', 'icon_url': 'https://fp-icons.modat.io/technologies/AOS.svg'}, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '185.17.186.188', 'service': {'transport': 'tcp', 'port': 23, 'banner': '\r\nUser Name : ', 'protocol': 'telnet', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-04-27T20:25:10.144176Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
190.105.195.3,ip=190.105.195.3 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '190.105.195.3', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 AP8959 Network Management Card AOS v7.0.8 FTP server ready.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-04-27T20:26:50.086891Z', 'fingerprints': {'os': None, 'service': {'product': 'AOS AP8959', 'version': '7.0.8', 'icon_url': 'https://fp-icons.modat.io/technologies/AOS.svg'}, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '190.105.195.3', 'service': {'transport': 'tcp', 'port': 23, 'banner': '\r\nUser Name : ', 'protocol': 'telnet', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-04-27T18:25:09.474809Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
190.105.195.4,ip=190.105.195.4 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '190.105.195.4', 'service': {'transport': 'tcp', 'port': 23, 'banner': '\r\nUser Name : ', 'protocol': 'telnet', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-04-27T18:25:10.176650Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '190.105.195.4', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 AP8959 Network Management Card AOS v7.0.8 FTP server ready.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-04-27T11:04:07.514365Z', 'fingerprints': {'os': None, 'service': {'product': 'AOS AP8959', 'version': '7.0.8', 'icon_url': 'https://fp-icons.modat.io/technologies/AOS.svg'}, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
83.149.118.89,ip=83.149.118.89 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '83.149.118.89', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 AP8953 Network Management Card AOS v7.0.8 FTP server ready.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-04-23T10:50:12.440084Z', 'fingerprints': {'os': None, 'service': {'product': 'AOS AP8953', 'version': '7.0.8', 'icon_url': 'https://fp-icons.modat.io/technologies/AOS.svg'}, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '83.149.118.89', 'service': {'transport': 'tcp', 'port': 23, 'banner': '\r\nUser Name : ', 'protocol': 'telnet', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-04-22T11:13:09.412723Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
37.48.95.249,ip=37.48.95.249 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[        {            ""ip"": ""37.48.95.249"",            ""service"": {                ""transport"": ""tcp"",                ""port"": 21,                ""banner"": ""220 AP8953 Network Management Card AOS v7.0.8 FTP server ready.\r\n"",                ""protocol"": ""ftp"",                ""http"": null,                ""ssh"": null,                ""tls"": null,                ""scanned_at"": ""2025-03-18T11:20:32.927962Z"",                ""fingerprints"": {                    ""os"": null,                    ""service"": {                        ""product"": ""AOS AP8953"",                        ""version"": ""7.0.8"",                        ""icon_url"": null                    },                    ""technologies"": [],                    ""tags"": []                },                ""cves"": []            },            ""fqdns"": [],            ""asn"": {                ""number"": 60781,                ""org"": ""LeaseWeb Netherlands B.V.""            },            ""geo"": {                ""city_name"": ""Amsterdam"",                ""country_name"": ""The Netherlands"",                ""country_iso_code"": ""NL""            },            ""is_anycast"": false        },        {            ""ip"": ""37.48.95.249"",            ""service"": {                ""transport"": ""tcp"",                ""port"": 23,                ""banner"": ""\r\nUser Name : "",                ""protocol"": ""telnet"",                ""http"": null,                ""ssh"": null,                ""tls"": null,                ""scanned_at"": ""2025-03-17T19:51:35.710851Z"",                ""fingerprints"": {                    ""os"": null,                    ""service"": null,                    ""technologies"": [],                    ""tags"": []                },                ""cves"": []            },            ""fqdns"": [],            ""asn"": {                ""number"": 60781,                ""org"": ""LeaseWeb Netherlands B.V.""            },            ""geo"": {                ""city_name"": ""Amsterdam"",                ""country_name"": ""The Netherlands"",                ""country_iso_code"": ""NL""            },            ""is_anycast"": false        }    ]"
37.48.111.240,ip=37.48.111.240 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '37.48.111.240', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 AP8953 Network Management Card AOS v7.1.8 FTP server ready.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-03-18T04:36:32.230421Z', 'fingerprints': {'os': None, 'service': {'product': 'AOS AP8953', 'version': '7.1.8', 'icon_url': None}, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '37.48.111.240', 'service': {'transport': 'tcp', 'port': 23, 'banner': '\r\nUser Name : ', 'protocol': 'telnet', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-03-06T13:33:27.920410Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
5.79.112.250,ip=5.79.112.250 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '5.79.112.250', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 AP8953 Network Management Card AOS v6.8.2 FTP server ready.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-03-06T23:06:12.686862Z', 'fingerprints': {'os': None, 'service': {'product': 'AOS AP8953', 'version': '6.8.2', 'icon_url': None}, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '5.79.112.250', 'service': {'transport': 'tcp', 'port': 23, 'banner': '\r\nUser Name : ', 'protocol': 'telnet', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-03-06T16:16:47.488191Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
37.48.95.248,ip=37.48.95.248 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '37.48.95.248', 'service': {'transport': 'tcp', 'port': 23, 'banner': '\r\nUser Name : ', 'protocol': 'telnet', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-03-06T13:33:30.170831Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '37.48.95.248', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 AP8953 Network Management Card AOS v6.5.6 FTP server ready.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-03-05T09:38:52.147679Z', 'fingerprints': {'os': None, 'service': {'product': 'AOS AP8953', 'version': '6.5.6', 'icon_url': None}, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 60781, 'org': 'LeaseWeb Netherlands B.V.'}, 'geo': {'city_name': 'Amsterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
